model name,query name,query index,result,time
BART-COL-005,ReachabilityCardinality.xml,12,error,0.43360257148742676
BART-COL-005,ReachabilityCardinality.xml,15,error,0.3751685619354248
BART-COL-005,ReachabilityCardinality.xml,13,error,0.43744564056396484
BART-COL-005,ReachabilityCardinality.xml,10,error,0.47657012939453125
BART-COL-005,ReachabilityCardinality.xml,5,error,0.3511800765991211
BART-COL-005,ReachabilityCardinality.xml,2,error,0.42694830894470215
BART-COL-005,ReachabilityCardinality.xml,6,error,0.3851468563079834
BART-COL-005,ReachabilityCardinality.xml,9,error,0.374464750289917
BART-COL-005,ReachabilityCardinality.xml,16,error,0.4859292507171631
BART-COL-005,ReachabilityCardinality.xml,4,error,0.5065639019012451
BART-COL-005,ReachabilityCardinality.xml,8,error,0.5382351875305176
BART-COL-010,ReachabilityCardinality.xml,12,error,0.3793468475341797
BART-COL-010,ReachabilityCardinality.xml,13,error,0.3661155700683594
BART-COL-005,ReachabilityCardinality.xml,7,error,0.573972225189209
BART-COL-010,ReachabilityCardinality.xml,16,error,0.33553576469421387
BART-COL-010,ReachabilityCardinality.xml,1,error,0.47574472427368164
BART-COL-010,ReachabilityCardinality.xml,11,error,0.4419372081756592
BART-COL-010,ReachabilityCardinality.xml,15,error,0.35899853706359863
BART-COL-010,ReachabilityCardinality.xml,10,error,0.47908997535705566
BART-COL-010,ReachabilityCardinality.xml,4,error,0.3532752990722656
BART-COL-010,ReachabilityCardinality.xml,2,error,0.37280941009521484
BART-COL-010,ReachabilityCardinality.xml,5,error,0.4060251712799072
BART-COL-010,ReachabilityCardinality.xml,3,error,0.4543263912200928
BART-COL-010,ReachabilityCardinality.xml,14,error,0.5542705059051514
BART-COL-010,ReachabilityCardinality.xml,7,error,0.46277546882629395
BART-COL-020,ReachabilityCardinality.xml,1,error,0.435560941696167
BART-COL-010,ReachabilityCardinality.xml,9,error,0.4491853713989258
BART-COL-010,ReachabilityCardinality.xml,8,error,0.45227885246276855
BART-COL-010,ReachabilityCardinality.xml,6,error,0.5042579174041748
BART-COL-020,ReachabilityCardinality.xml,12,error,0.3805985450744629
BART-COL-020,ReachabilityCardinality.xml,11,error,0.3988783359527588
BART-COL-020,ReachabilityCardinality.xml,15,error,0.3807854652404785
BART-COL-020,ReachabilityCardinality.xml,10,error,0.5224795341491699
BART-COL-020,ReachabilityCardinality.xml,16,error,0.3933374881744385
